,video_id,video_title,upload_date,view_count,like_count,comment_count,std_sentiment_score,mean_sentiment_score,median_sentiment_score
42,TaLnBn-qTAE,Did I find real Yeezy slides?,2022-05-30,4074711,308838,549,0.6099132643641838,-0.04126460665464401,0.11640876531600952
41,KlTyRgVWqmI,I bought the cheapest rolex on eBay…,2022-06-02,1160878,54112,293,0.5995154245980001,-0.20088800132274628,0.09690240621566773
40,hMVUdFEN74U,Unboxing the cheapest rolex on eBay,2022-06-03,546741,30044,234,0.620802274480494,-0.1434653593301773,0.10584971904754639
39,SHFWyvLzUxU,I Bought The Cheapest Rolex On eBay,2022-06-08,221018,14921,1410,0.7100858266620748,0.11768789446353912,0.15065407156944277
38,auxv8xyea9c,Is the cheapest rolex on eBay real?,2022-06-09,30106646,2002289,2162,0.5880929239160895,-0.1195062888264656,0.11543502807617188
37,0gJlInD47gw,Confronting the seller of the “cheapest rolex on ebay”,2022-06-10,1234922,80809,626,0.7035014084459107,-0.253913901925087,-0.6301054060459137
36,tDEwiQlahfU,Surprising her with the cheapest rolex on eBay,2022-06-13,1316230,90274,1289,0.6906339283173689,-0.19645752453804013,-0.4919201284646988
35,HuzI5-Cz6sM,I tried finding profitable flips (ELON MUSK EDITION),2022-06-18,806622,61655,173,0.5415025273489825,-0.2864880661964416,0.0928131639957428
34,0JqbAZhncZ8,Did this seller scam me with her rolex?,2022-06-22,853458,65159,152,0.6167277308713287,-0.26345669907331465,-0.6070880889892578
33,ER0Nmtf1ZMw,I tried upgrading my money making hotspot (helium update PT.5),2022-06-25,2370984,154716,651,0.531096176969098,-0.13612159538269042,0.12393278479576111
32,INCQBEu_juI,I’m building a sunglasses brand to compete with Rayban (ep.2),2022-06-28,771667,57089,417,0.6538737511197105,-0.016229165732860554,0.13383355736732483
31,gKACwcBbsQ4,I tried going viral as a small brand,2022-07-01,3554636,318865,536,0.6053638507687154,-0.27592431610822676,-0.5250644683837891
30,tFmEMzQFPYk,I bought the most expensive water on Amazon,2022-07-05,7633883,623213,4078,0.5376786808012969,-0.1061124741435051,0.12204992771148682
29,jjhNrouKLQ4,Taste testing the most expensive water on Amazon,2022-07-07,3095865,340768,1515,0.5962301538853084,0.12764228636026384,0.14618322849273682
28,-NeMQkXjzLQ,I tried turning $21 into $100 in profit (30min challenge),2022-07-12,1952270,158666,414,0.5738648039053943,-0.07333264231681823,0.12055513262748718
27,_G6Tvk5rJdc,I paid Fiverr to redesign my product packaging,2022-07-14,7941682,408708,2753,0.6181152653231637,0.12294483518600463,0.15082074999809264
26,sZcgNlKA54k,I’m investing in $100 empty boxes #shorts #sponsored,2022-07-18,1681458,159558,475,0.5280045648335452,-0.19821130287647246,0.11715255975723267
25,0luY8pOzNww,I bought a questionable pineapple…,2022-07-20,10616068,946659,4680,0.4913362045237729,-0.022343472898006436,0.12540679574012756
24,nwmvg6vpMns,I’m turning a meme page into a business,2022-07-22,269367,22415,176,0.5455115901814073,-0.4293643097877502,-0.6512433290481567
23,ZkCZMeMBNS8,Is Amazon Affiliate Marketing a Good Side Hustle?,2022-07-26,2018008,152663,221,0.5528322286178762,-0.1330614696741104,0.11748186349868775
22,Feeh8hMClDU,How she started a $10mil per year “side hustle”,2022-07-28,180821,10472,116,0.574343414409599,-0.053557006299495696,0.1222285270690918
21,MeR0neyhrEw,How much iPhone box costs to make in USA vs. China,2022-07-30,5546984,325141,5859,0.4689070418324666,-0.38679996609687806,-0.6097709238529205
20,G2ZwJE4Jm7U,saying goodbye…,2022-08-03,215543,16707,2622,0.5062483431222737,0.48707752430438994,0.638157069683075
19,1rST6dPtfcQ,I tested the midnight Walmart side hustle,2022-08-05,1837882,71427,686,0.5364523464672257,-0.24298829221725463,-0.19338285624980928
18,Rd5XQOrUSio,Revealing My Entire Pokémon Investment,2022-08-08,2756855,115333,830,0.48611772478768145,0.06531592613458632,0.14718728065490722
17,AdMYj6_5PpA,He sold me fake Pokémon cards… maybe?,2022-08-12,421491,21197,493,0.438340651008919,-0.07356755471229554,0.1328501284122467
16,9-_qO9MfTso,How much my money making hotspot has made,2022-08-18,866417,64077,246,0.5036899037082739,-0.24903864395618439,0.11361410617828369
15,_ysQw7k675o,I Bought Gold Pay Dirt And Made $______,2022-08-19,37322,1582,230,0.5480588852437617,0.13357858127355576,0.14652858376502992
14,7H0SC3a1J10,Is Gold Pay Dirt A Good Side Hustle?,2022-08-22,1844903,117969,420,0.5720708959879155,-0.2771722654104233,-0.5343534350395203
13,3-V00ElEXig,How much gold I found in Amazon pay dirt,2022-08-23,5827039,248207,778,0.5265713466704703,-0.29012935018539426,-0.49005362391471863
12,yYqWz-v9frA,Valuing the gold I found in Amazon pay dirt,2022-08-24,625339,52224,255,0.554019896538668,-0.10099424284696579,0.1069827914237976
11,7VuYOkPG4AE,I got a gadget filled mystery box in the mail #shorts #sponsored,2022-08-31,211944,16214,154,0.6088578090532778,-0.0703649190068245,0.13418298959732056
10,oaoEYpKUaEA,I paid an artist $20 to turn Yeezy sneakers into sunglasses,2022-09-01,4234596,317273,645,0.5983707988257071,-0.08861382126808166,0.13125568628311157
9,2bMxiKefjHw,Testing the world’s brightest flashlight OUTSIDE,2022-09-08,229984,16588,135,0.49277617330897816,0.028621864020824436,0.13838586807250977
8,5fwdTOSCHXg,How to make $200 a day with a drone,2022-09-23,1729501,123892,814,0.5372825405435572,-0.15839601641893386,0.11160994172096253
7,luDrIsXN2GI,How I profited off the fidget spinner craze,2022-10-04,3004250,197699,260,0.5236447515019933,-0.11709518235921859,0.1082150161266327
6,2iq9yJ_ptso,I paid artists $200 to turn Yeezys into sunglasses (foam runners),2022-10-11,1871976,143156,213,0.6910043783447951,-0.1487446804046631,0.09697032570838929
5,JZvrStxx2Z8,I manufactured Yeezy sunglasses from scratch,2022-10-12,455182,33210,203,0.6733588849082481,0.09487922990322113,0.15397682189941408
4,iwe3SuNkXbg,I bought $500 worth of G-Shock￼￼ watches,2022-10-14,1162979,75225,1536,0.5231946267269415,0.38895825600624084,0.4698635935783386
3,DfapVOpJdks,How much gold I found in $100 Amazon pay dirt,2022-10-20,1835207,110940,606,0.6133537602236915,-0.22145461207628248,-0.19842119812965392
2,pNbLkQV3OkQ,Is the cheapest Kobe autographed ball online real?,2022-10-26,2103937,141783,220,0.48991437130273274,-0.20889036667346952,0.1005344957113266
1,_DcZFOirIDE,Anyone need a new camera?,2022-11-01,40723,3162,3230,0.4017899512112915,0.628997939825058,0.787438303232193
0,DOtPOfeyJ4Q,Confronting the seller of a questionable Kobe autograph,2022-11-02,781610,62761,447,0.5078472901281738,0.008319831132888797,0.11660771369934082
